family,ym,sales,onpromotion,days_in_month,onpromotion_per_day,ym_dt,year,month,lag_1,lag_12,ma_3,ma_6,ma_12
AUTOMOTIVE,2013-02,7220.0,0,28,0.0,2013-02-01,2013,2,6557.0,,6888.5,6888.5,6888.5
AUTOMOTIVE,2013-03,7635.0,0,31,0.0,2013-03-01,2013,3,7220.0,,7137.333333333333,7137.333333333333,7137.333333333333
AUTOMOTIVE,2013-04,7485.0,0,30,0.0,2013-04-01,2013,4,7635.0,,7446.666666666667,7224.25,7224.25
AUTOMOTIVE,2013-05,9034.0,0,31,0.0,2013-05-01,2013,5,7485.0,,8051.333333333333,7586.2,7586.2
AUTOMOTIVE,2013-06,8311.0,0,30,0.0,2013-06-01,2013,6,9034.0,,8276.666666666666,7707.0,7707.0
AUTOMOTIVE,2013-07,8508.0,0,31,0.0,2013-07-01,2013,7,8311.0,,8617.666666666666,8032.166666666667,7821.428571428572
AUTOMOTIVE,2013-08,8164.0,0,31,0.0,2013-08-01,2013,8,8508.0,,8327.666666666666,8189.5,7864.25
AUTOMOTIVE,2013-09,7029.0,0,30,0.0,2013-09-01,2013,9,8164.0,,7900.333333333333,8088.5,7771.444444444444
AUTOMOTIVE,2013-10,6803.0,0,31,0.0,2013-10-01,2013,10,7029.0,,7332.0,7974.833333333333,7674.6
AUTOMOTIVE,2013-11,7166.0,0,30,0.0,2013-11-01,2013,11,6803.0,,6999.333333333333,7663.5,7628.363636363636
AUTOMOTIVE,2013-12,8411.0,0,31,0.0,2013-12-01,2013,12,7166.0,,7460.0,7680.166666666667,7693.583333333333
AUTOMOTIVE,2014-01,8491.0,0,31,0.0,2014-01-01,2014,1,8411.0,6557.0,8022.666666666667,7677.333333333333,7854.75
AUTOMOTIVE,2014-02,7563.0,0,28,0.0,2014-02-01,2014,2,8491.0,7220.0,8155.0,7577.166666666667,7883.333333333333
AUTOMOTIVE,2014-03,10115.0,0,31,0.0,2014-03-01,2014,3,7563.0,7635.0,8723.0,8091.5,8090.0
AUTOMOTIVE,2014-04,8426.0,0,30,0.0,2014-04-01,2014,4,10115.0,7485.0,8701.333333333334,8362.0,8168.416666666667
AUTOMOTIVE,2014-05,8075.0,2,31,0.06451612903225806,2014-05-01,2014,5,8426.0,9034.0,8872.0,8513.5,8088.5
AUTOMOTIVE,2014-06,8230.0,53,30,1.7666666666666666,2014-06-01,2014,6,8075.0,8311.0,8243.666666666666,8483.333333333334,8081.75
AUTOMOTIVE,2014-07,9481.0,37,31,1.1935483870967742,2014-07-01,2014,7,8230.0,8508.0,8595.333333333334,8648.333333333334,8162.833333333333
